Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
233.9783 32.07147 -44.43383 8.130392
238.1868 29.49866 -42.85686 15.01791
257.8089 46.68236 -27.63906 26.12846
242.1787 37.9235 -36.6471 18.78107
247.1821 34.39329 -32.29009 22.02337
247.5575 41.31834 -24.76955 20.76305
253.5459 34.98341 -32.62181 18.42316
249.4759 34.452 -31.1448 10.08523
247.1473 38.10421 -36.72959 10.07455
242.0715 32.51428 -37.75221 19.34726
243.7557 37.61226 -39.45242 12.38243
236.2213 28.8975 -43.14617 18.49529
225.5709 20.49087 -56.2232 -2.459361
232.865 20.01533 -49.54111 5.578834
222.9793 13.02927 -56.72713 -2.746843
220.6451 16.30021 -52.01125 -4.205983
227.6397 22.72938 -59.67127 -0.9260003
228.286 17.84769 -52.57965 3.63461
231.2537 8.341236 -54.78739 -4.780296
218.5452 7.444676 -62.14192 -6.439351
221.1145 10.68662 -61.54619 -6.241464
216.4717 -1.629981 -69.1631 -20.1642
193.9152 -10.80546 -82.81173 -35.21371
199.6499 -14.42065 -84.4141 -25.28905
190.5643 -16.35904 -86.85472 -33.73752
192.6669 -13.49798 -92.40216 -29.02386
203.048 -6.307019 -79.39161 -29.90536
207.3303 -6.148041 -87.21446 -28.96391
220.5732 13.1587 -59.73874 -11.64706
224.3074 13.75253 -58.58886 -4.284014
212.4062 5.527621 -67.71998 -18.53021
222.5837 16.50189 -56.79841 -6.027536
237.0158 18.6118 -48.94773 1.207023
223.6519 11.17778 -55.18395 -7.163007
235.8807 25.87665 -50.54279 13.29455
233.9267 14.42441 -50.1827 -4.63315
240.5444 27.99796 -38.30782 5.315185
238.8613 29.90927 -39.35159 6.729922
241.6217 32.36193 -39.33762 18.74599
247.4887 32.13286 -34.38692 22.35054
255.3639 48.57184 -29.88874 29.94935
260.3862 50.40304 -22.25125 32.02849
264.2981 48.5848 -17.57125 38.91665
268.619 57.05227 -18.09821 34.64615
270.2052 55.49171 -15.24881 35.94526
279.2544 72.71933 0.7485163 50.67393
276.8152 67.28456 -0.9371745 51.93184
295.6668 83.53997 4.665943 62.50768
286.6943 75.32605 -0.3692092 57.47277
299.0937 86.59767 8.665194 68.31249
299.2643 86.18025 23.64071 78.0448
295.2978 78.45281 12.02204 61.05981
291.6737 76.39003 4.114874 62.89444
281.2204 81.59765 4.966719 65.7464
286.3817 82.73972 7.627924 63.1689
292.7733 80.22074 10.69758 64.26313
294.2561 81.64536 12.37397 64.20923
286.374 75.17419 2.064939 59.6353
